,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
4283,A.J. McCarron,Texans,2019,1,,"$3,000,000 ","$3,000,000 ","$2,500,000 ",,1.60%,,"$4,450,584 ","$4,450,584 ","$3,708,820 "
4284,Davis Mills,Texans,2024,2,,"$8,116,000 ","$4,058,000 ","$6,316,000 ",,1.60%,,"$8,872,307 ","$4,436,153 ","$6,904,570 "
4285,Matt Cassel,Titans,2017,2,,"$5,250,000 ","$2,625,000 ","$500,000 ",,1.60%,,"$8,777,246 ","$4,388,623 ","$835,928 "
4286,Christian Ponder,Raiders,2015,1,,"$2,250,000 ","$2,250,000 ","$1,500,000 ",,1.60%,,"$4,384,422 ","$4,384,422 ","$2,922,948 "
4287,Derek Anderson,Panthers,2015,2,,"$4,500,000 ","$2,250,000 ","$1,500,000 ",,1.60%,,"$8,768,844 ","$4,384,422 ","$2,922,948 "
4288,Jameis Winston,Browns,2024,1,,"$4,000,000 ","$4,000,000 ","$4,000,000 ",,1.60%,,"$4,372,749 ","$4,372,749 ","$4,372,749 "
4289,Jordan Love,Packers,2020,4,,"$12,383,470 ","$3,095,868 ","$12,383,470 ",,1.60%,,"$17,444,323 ","$4,361,081 ","$17,444,323 "
4290,Colt McCoy,Cardinals,2022,2,,"$7,500,000 ","$3,250,000 ","$6,000,000 ",,1.60%,,"$10,057,637 ","$4,358,309 ","$8,046,110 "
4291,Gardner Minshew,Colts,2023,1,,"$3,500,000 ","$3,500,000 ","$3,500,000 ",,1.60%,,"$4,346,975 ","$4,346,975 ","$4,346,975 "
4292,Mark Brunell,Saints,2008,2,,"$3,600,000 ","$1,800,000 ","$500,000 ",,1.60%,,"$8,664,828 ","$4,332,414 ","$1,203,448 "
4293,Tim Couch,Packers,2004,1,,"$1,250,000 ","$1,250,000 ","$625,000 ",,1.60%,,"$4,330,992 ","$4,330,992 ","$2,165,496 "
4294,Johnny Manziel,Browns,2014,4,,"$8,248,596 ","$2,062,149 ","$7,707,913 ",,1.60%,,"$17,315,850 ","$4,328,962 ","$16,180,822 "
4295,Paxton Lynch,Broncos,2016,4,,"$9,476,306 ","$2,369,077 ","$8,334,083 ",,1.50%,,"$17,039,896 ","$4,259,975 ","$14,985,998 "
4296,Jason Campbell,Browns,2013,2,,"$3,750,000 ","$1,875,000 ","$500,000 ",,1.50%,,"$8,512,195 ","$4,256,098 ","$1,134,959 "
4297,Andy Dalton,Cowboys,2020,1,,"$3,000,000 ","$3,000,000 ","$3,000,000 ",,1.50%,,"$4,226,034 ","$4,226,034 ","$4,226,034 "
4298,Charlie Whitehurst,Titans,2014,2,,"$4,000,000 ","$2,000,000 ","$2,000,000 ",,1.50%,,"$8,396,992 ","$4,198,496 ","$4,198,496 "
4299,Luke McCown,Jaguars,2011,1,,"$1,800,000 ","$1,800,000 ","$250,000 ",,1.50%,,"$4,174,953 ","$4,174,953 ","$579,855 "
4300,Nick Foles,Colts,2022,2,,"$6,200,000 ","$3,100,000 ","$4,000,000 ",,1.50%,,"$8,314,313 ","$4,157,157 ","$5,364,073 "
4301,Austin Davis,Browns,2015,3,,"$4,173,530 ","$2,086,765 ","$600,000 ",,1.50%,,"$8,132,674 ","$4,066,337 ","$1,169,179 "
4302,Andy Dalton,Saints,2022,1,,"$3,000,000 ","$3,000,000 ","$3,000,000 ",,1.40%,,"$4,023,055 ","$4,023,055 ","$4,023,055 "
4303,Andy Dalton,Panthers,2025,2,,"$8,000,000 ","$4,000,000 ","$6,000,000 ",,1.40%,,"$8,000,000 ","$4,000,000 ","$6,000,000 "
4304,Jameis Winston,Giants,2025,2,,"$8,000,000 ","$4,000,000 ","$5,250,000 ",,1.40%,,"$8,000,000 ","$4,000,000 ","$5,250,000 "
4305,Joshua Dobbs,Patriots,2025,2,,"$8,000,000 ","$4,000,000 ","$3,800,000 ",,1.40%,,"$8,000,000 ","$4,000,000 ","$3,800,000 "
4306,Charlie Whitehurst,Colts,2015,1,,"$2,000,000 ","$2,000,000 ",$0 ,,1.40%,,"$3,897,264 ","$3,897,264 ",$0 
4307,Matt Cassel,Bills,2015,1,,"$2,000,000 ","$2,000,000 ",$0 ,,1.40%,,"$3,897,264 ","$3,897,264 ",$0 
4308,Blaine Gabbert,49ers,2015,2,,"$4,000,000 ","$2,000,000 ","$500,000 ",,1.40%,,"$7,794,528 ","$3,897,264 ","$974,316 "
4309,Matt Cassel,Cowboys,2015,1,,"$2,000,000 ","$2,000,000 ",$0 ,,1.40%,,"$3,897,264 ","$3,897,264 ",$0 
4310,Matt Schaub,Ravens,2015,1,,"$2,000,000 ","$2,000,000 ","$2,000,000 ",,1.40%,,"$3,897,264 ","$3,897,264 ","$3,897,264 "
4311,Charlie Whitehurst,Titans,2015,1,,"$2,000,000 ","$2,000,000 ",$0 ,,1.40%,,"$3,897,264 ","$3,897,264 ",$0 
4312,Case Keenum,Texans,2023,2,,"$6,250,000 ","$3,125,000 ","$4,000,000 ",,1.40%,,"$7,762,456 ","$3,881,228 ","$4,967,972 "
4313,Mitchell Trubisky,Bills,2021,1,,"$2,500,000 ","$2,500,000 ","$2,000,000 ",,1.40%,,"$3,824,658 ","$3,824,658 ","$3,059,726 "
4314,C.J. Beathard,Jaguars,2021,2,,"$5,000,000 ","$2,500,000 ","$2,750,000 ",,1.40%,,"$7,649,315 ","$3,824,658 ","$4,207,123 "
4315,Mason Rudolph,Steelers,2025,2,,"$7,500,000 ","$3,750,000 ","$3,000,000 ",,1.30%,,"$7,500,000 ","$3,750,000 ","$3,000,000 "
4316,Drew Brees,Chargers,2001,4,,"$3,605,000 ","$901,250 ","$1,845,000 ",,1.30%,,"$14,932,364 ","$3,733,091 ","$7,642,222 "
4317,Lamar Jackson,Ravens,2018,4,,"$9,471,652 ","$2,367,913 ","$8,055,062 ",,1.30%,,"$14,923,732 ","$3,730,933 ","$12,691,723 "
4318,Teddy Bridgewater,Lions,2023,1,,"$3,000,000 ","$3,000,000 ","$2,550,000 ",,1.30%,,"$3,725,979 ","$3,725,979 ","$3,167,082 "
4319,Rob Johnson,Commanders,2003,2,,"$2,000,000 ","$1,000,000 ","$245,000 ",,1.30%,,"$7,444,639 ","$3,722,319 ","$911,968 "
4320,Landry Jones,Steelers,2017,2,,"$4,400,000 ","$2,200,000 ","$600,000 ",,1.30%,,"$7,356,168 ","$3,678,084 ","$1,003,114 "
4321,Shaun Hill,Rams,2014,1,,"$1,750,000 ","$1,750,000 ","$500,000 ",,1.30%,,"$3,673,684 ","$3,673,684 ","$1,049,624 "
4322,Tim Boyle,Lions,2021,1,,"$2,400,000 ","$2,400,000 ","$1,500,000 ",,1.30%,,"$3,671,671 ","$3,671,671 ","$2,294,795 "
4323,Kurt Warner,Rams,1999,1,,"$750,000 ","$750,000 ","$500,000 ",,1.30%,,"$3,655,216 ","$3,655,216 ","$2,436,811 "
4324,Taylor Heinicke,Commanders,2021,2,,"$4,750,000 ","$2,375,000 ","$1,500,000 ",,1.30%,,"$7,266,849 ","$3,633,425 ","$2,294,795 "
4325,Jake Plummer,Cardinals,1997,3,,"$1,606,250 ","$535,417 ","$700,000 ",,1.30%,,"$10,818,377 ","$3,606,128 ","$4,714,623 "
4326,Mark Sanchez,Cowboys,2016,1,,"$2,000,000 ","$2,000,000 ",$0 ,,1.30%,,"$3,596,316 ","$3,596,316 ",$0 
4327,Brian Hoyer,Bears,2016,1,,"$2,000,000 ","$2,000,000 ","$750,000 ",,1.30%,,"$3,596,316 ","$3,596,316 ","$1,348,619 "
4328,Brandon Weeden,Texans,2016,2,,"$4,000,000 ","$2,000,000 ","$450,000 ",,1.30%,,"$7,192,632 ","$3,596,316 ","$809,171 "
4329,Matt Cassel,Titans,2016,1,,"$2,000,000 ","$2,000,000 ","$750,000 ",,1.30%,,"$3,596,316 ","$3,596,316 ","$1,348,619 "
4330,Teddy Bridgewater,Vikings,2014,4,,"$6,849,502 ","$1,712,376 ","$5,495,479 ",,1.30%,,"$14,378,804 ","$3,594,702 ","$11,536,374 "
4331,Charlie Whitehurst,Chargers,2012,2,,"$3,050,000 ","$1,525,000 ","$1,000,000 ",,1.30%,,"$7,061,028 ","$3,530,514 ","$2,315,091 "
4332,Jeff Driskel,Broncos,2020,2,,"$5,000,000 ","$2,500,000 ","$2,500,000 ",,1.30%,,"$7,043,391 ","$3,521,695 ","$3,521,695 "
4333,Mac Jones,49ers,2025,2,,"$7,000,000 ","$3,500,000 ","$4,750,000 ",,1.30%,,"$7,000,000 ","$3,500,000 ","$4,750,000 "
4334,Jimmy Garoppolo,Rams,2024,1,,"$3,178,750 ","$3,178,750 ","$3,178,750 ",,1.20%,,"$3,474,969 ","$3,474,969 ","$3,474,969 "
4335,Dwayne Haskins,Steelers,2022,1,,"$2,540,000 ","$2,540,000 ",$0 ,,1.20%,,"$3,406,186 ","$3,406,186 ",$0 
4336,Mike White,Jets,2022,1,,"$2,540,000 ","$2,540,000 ",$0 ,,1.20%,,"$3,406,186 ","$3,406,186 ",$0 
4337,Kyle Allen,Texans,2022,1,,"$2,500,000 ","$2,500,000 ","$2,250,000 ",,1.20%,,"$3,352,546 ","$3,352,546 ","$3,017,291 "
4338,Matt Barkley,49ers,2017,2,,"$4,000,000 ","$2,000,000 ","$500,000 ",,1.20%,,"$6,687,425 ","$3,343,713 ","$835,928 "
4339,Ryan Mallett,Ravens,2017,1,,"$2,000,000 ","$2,000,000 ","$1,000,000 ",,1.20%,,"$3,343,713 ","$3,343,713 ","$1,671,856 "
4340,Mark Sanchez,Bears,2017,1,,"$2,000,000 ","$2,000,000 ","$1,000,000 ",,1.20%,,"$3,343,713 ","$3,343,713 ","$1,671,856 "
4341,Case Keenum,Vikings,2017,1,,"$2,000,000 ","$2,000,000 ","$250,000 ",,1.20%,,"$3,343,713 ","$3,343,713 ","$417,964 "
4342,Tyler Huntley,Ravens,2023,1,,"$2,627,000 ","$2,627,000 ",$0 ,,1.20%,,"$3,262,715 ","$3,262,715 ",$0 
4343,Mark Brunell,Jets,2010,2,,"$3,000,000 ","$1,500,000 ","$300,000 ",,1.20%,,"$6,493,023 ","$3,246,512 ","$649,302 "
4344,Matt Moore,Dolphins,2016,2,,"$3,550,000 ","$1,775,000 ","$2,250,000 ",,1.10%,,"$6,383,461 ","$3,191,731 ","$4,045,856 "
4345,Colt McCoy,Giants,2020,1,,"$2,250,000 ","$2,250,000 ","$1,700,000 ",,1.10%,,"$3,169,526 ","$3,169,526 ","$2,394,753 "
4346,Matt Barkley,Bills,2018,2,,"$4,000,000 ","$2,000,000 ","$600,000 ",,1.10%,,"$6,302,483 ","$3,151,242 ","$945,372 "
4347,Blaine Gabbert,Titans,2018,2,,"$4,000,000 ","$2,000,000 ","$1,000,000 ",,1.10%,,"$6,302,483 ","$3,151,242 ","$1,575,621 "
4348,Jason Campbell,Bengals,2014,1,,"$1,500,000 ","$1,500,000 ","$400,000 ",,1.10%,,"$3,148,872 ","$3,148,872 ","$839,699 "
4349,Matt Schaub,Falcons,2016,1,,"$1,750,000 ","$1,750,000 ","$500,000 ",,1.10%,,"$3,146,777 ","$3,146,777 ","$899,079 "
4350,Scott Tolzien,Colts,2016,2,,"$3,500,000 ","$1,750,000 ","$500,000 ",,1.10%,,"$6,293,553 ","$3,146,777 ","$899,079 "
4351,Mason Rudolph,Titans,2024,1,,"$2,870,000 ","$2,870,000 ","$2,700,000 ",,1.10%,,"$3,137,447 ","$3,137,447 ","$2,951,605 "
4352,Cooper Rush,Cowboys,2023,2,,"$5,000,000 ","$2,500,000 ","$2,750,000 ",,1.10%,,"$6,209,964 ","$3,104,982 ","$3,415,480 "
4353,Cooper Rush,Ravens,2025,2,,"$6,200,000 ","$3,100,000 ","$4,000,000 ",,1.10%,,"$6,200,000 ","$3,100,000 ","$4,000,000 "
4354,Tony Romo,Cowboys,2005,2,,"$1,880,000 ","$940,000 ","$320,000 ",,1.10%,,"$6,139,135 ","$3,069,567 ","$1,044,959 "
4355,Blaine Gabbert,Buccaneers,2021,1,,"$2,000,000 ","$2,000,000 ","$1,500,000 ",,1.10%,,"$3,059,726 ","$3,059,726 ","$2,294,795 "
4356,Andy Dalton,Bengals,2011,4,,"$5,214,198 ","$1,303,550 ","$4,028,171 ",,1.10%,,"$12,093,907 ","$3,023,478 ","$9,343,014 "
4357,Blaine Gabbert,Buccaneers,2022,1,,"$2,250,000 ","$2,250,000 ","$1,750,000 ",,1.10%,,"$3,017,291 ","$3,017,291 ","$2,346,782 "
4358,Jimmy Garoppolo,Rams,2025,1,,"$3,005,000 ","$3,005,000 ","$3,005,000 ",,1.10%,,"$3,005,000 ","$3,005,000 ","$3,005,000 "
4359,Austin Davis,Rams,2015,1,,"$1,542,000 ","$1,542,000 ",$0 ,,1.10%,,"$3,004,791 ","$3,004,791 ",$0 
4360,Cooper Rush,Cowboys,2020,1,,"$2,133,000 ","$2,133,000 ",$0 ,,1.10%,,"$3,004,710 ","$3,004,710 ",$0 
4361,Nathan Peterman,Raiders,2020,1,,"$2,133,000 ","$2,133,000 ",$0 ,,1.10%,,"$3,004,710 ","$3,004,710 ",$0 
4362,Ryan Griffin,Buccaneers,2017,1,,"$1,797,000 ","$1,797,000 ",$0 ,,1.10%,,"$3,004,326 ","$3,004,326 ",$0 
4363,Colin Kaepernick,49ers,2011,4,,"$5,124,296 ","$1,281,074 ","$3,800,000 ",,1.10%,,"$11,885,387 ","$2,971,347 ","$8,813,790 "
4364,Trevor Siemian,Jets,2019,1,,"$2,000,000 ","$2,000,000 ","$1,000,000 ",,1.10%,,"$2,967,056 ","$2,967,056 ","$1,483,528 "
4365,Josh McCown,Eagles,2019,1,,"$2,000,000 ","$2,000,000 ","$2,000,000 ",,1.10%,,"$2,967,056 ","$2,967,056 ","$2,967,056 "
4366,Robert Griffin III,Ravens,2019,2,,"$4,000,000 ","$2,000,000 ","$2,000,000 ",,1.10%,,"$5,934,113 ","$2,967,056 ","$2,967,056 "
4367,Will Levis,Titans,2023,4,,"$9,542,162 ","$2,385,541 ","$8,730,957 ",,1.10%,,"$11,851,297 ","$2,962,825 ","$10,843,786 "
4368,Tarvaris Jackson,Seahawks,2015,1,,"$1,500,000 ","$1,500,000 ","$1,500,000 ",,1.00%,,"$2,922,948 ","$2,922,948 ","$2,922,948 "
4369,Colt McCoy,Commanders,2015,1,,"$1,500,000 ","$1,500,000 ","$150,000 ",,1.00%,,"$2,922,948 ","$2,922,948 ","$292,295 "
4370,Easton Stick,Chargers,2024,1,,"$2,667,500 ","$2,667,500 ","$1,417,500 ",,1.00%,,"$2,916,077 ","$2,916,077 ","$1,549,593 "
4371,Drew Stanton,NYJ/IND,2012,1,,"$1,250,000 ","$1,250,000 ","$500,000 ",,1.00%,,"$2,893,864 ","$2,893,864 ","$1,157,546 "
4372,Mike Glennon,Raiders,2019,1,,"$1,950,000 ","$1,950,000 ","$1,400,000 ",,1.00%,,"$2,892,880 ","$2,892,880 ","$2,076,939 "
4373,Mitchell Trubisky,Bills,2024,2,,"$5,250,000 ","$2,625,000 ","$3,710,000 ",,1.00%,,"$5,739,233 ","$2,869,616 ","$4,055,724 "
4374,Geno Smith,Jets,2013,4,,"$5,019,603 ","$1,254,901 ","$767,196 ",,1.00%,,"$11,394,091 ","$2,848,523 ","$1,741,473 "
4375,Derek Carr,Raiders,2014,4,,"$5,371,802 ","$1,342,951 ","$3,310,937 ",,1.00%,,"$11,276,745 ","$2,819,187 ","$6,950,478 "
4376,Nate Sudfeld,Eagles,2020,1,,"$2,000,000 ","$2,000,000 ","$1,000,000 ",,1.00%,,"$2,817,356 ","$2,817,356 ","$1,408,678 "
4377,Matt Schaub,Falcons,2019,2,,"$3,780,000 ","$1,890,000 ","$750,000 ",,1.00%,,"$5,607,736 ","$2,803,868 ","$1,112,646 "
4378,Brian Hoyer,Raiders,2023,2,,"$4,500,000 ","$2,250,000 ","$4,205,000 ",,1.00%,,"$5,588,968 ","$2,794,484 ","$5,222,580 "
4379,C.J. Beathard,Jaguars,2023,2,,"$4,500,000 ","$2,250,000 ","$2,000,000 ",,1.00%,,"$5,588,968 ","$2,794,484 ","$2,483,986 "
4380,Kyle Trask,Buccaneers,2025,1,,"$2,787,500 ","$2,787,500 ","$1,337,500 ",,1.00%,,"$2,787,500 ","$2,787,500 ","$1,337,500 "
4381,Brett Hundley,Cardinals,2019,1,,"$1,875,000 ","$1,875,000 ","$750,000 ",,1.00%,,"$2,781,615 ","$2,781,615 ","$1,112,646 "
4382,Kevin Kolb,Eagles,2007,4,,"$4,330,000 ","$1,082,500 ","$2,620,000 ",,1.00%,,"$11,091,156 ","$2,772,789 ","$6,711,046 "
4383,Taylor Heinicke,ATL/LAC,2024,1,,"$2,530,000 ","$2,530,000 ","$1,320,000 ",,1.00%,,"$2,765,764 ","$2,765,764 ","$1,443,007 "
4384,Carson Wentz,Chiefs,2024,1,,"$2,500,000 ","$2,500,000 ","$2,200,000 ",,1.00%,,"$2,732,968 ","$2,732,968 ","$2,405,012 "
4385,Joe Flacco,Browns,2023,1,,"$2,200,000 ","$2,200,000 ","$400,000 ",,1.00%,,"$2,732,384 ","$2,732,384 ","$496,797 "
4386,Luke McCown,Saints,2016,2,,"$3,000,000 ","$1,500,000 ","$500,000 ",,1.00%,,"$5,394,474 ","$2,697,237 ","$899,079 "
4387,Derek Anderson,Panthers,2014,2,,"$2,564,000 ","$1,282,000 ","$400,000 ",,1.00%,,"$5,382,472 ","$2,691,236 ","$839,699 "
4388,Brian Hoyer,Patriots,2017,3,,"$4,815,000 ","$1,605,000 ","$1,510,000 ",,1.00%,,"$8,049,988 ","$2,683,329 ","$2,524,503 "
4389,Trevor Siemian,Bears,2022,2,,"$4,000,000 ","$2,000,000 ","$3,035,000 ",,1.00%,,"$5,364,073 ","$2,682,037 ","$4,069,990 "
4390,Chad Henne,Chiefs,2022,1,,"$2,000,000 ","$2,000,000 ","$2,000,000 ",,1.00%,,"$2,682,037 ","$2,682,037 ","$2,682,037 "
4391,Nick Mullens,LV/MIN,2022,1,,"$2,000,000 ","$2,000,000 ","$1,000,000 ",,1.00%,,"$2,682,037 ","$2,682,037 ","$1,341,018 "
4392,Nate Sudfeld,49ers,2022,1,,"$2,000,000 ","$2,000,000 ","$2,000,000 ",,1.00%,,"$2,682,037 ","$2,682,037 ","$2,682,037 "
4393,Tim Boyle,Lions,2022,1,,"$2,000,000 ","$2,000,000 ","$1,750,000 ",,1.00%,,"$2,682,037 ","$2,682,037 ","$2,346,782 "
4394,Brian Hoyer,Patriots,2022,2,,"$4,000,000 ","$2,000,000 ","$3,000,000 ",,1.00%,,"$5,364,073 ","$2,682,037 ","$4,023,055 "
4395,Chase Daniel,Chargers,2022,1,,"$2,000,000 ","$2,000,000 ","$1,120,000 ",,1.00%,,"$2,682,037 ","$2,682,037 ","$1,501,940 "
4396,Jeff Driskel,Texans,2021,1,,"$1,750,000 ","$1,750,000 ","$750,000 ",,1.00%,,"$2,677,260 ","$2,677,260 ","$1,147,397 "
4397,Rob Johnson,Buccaneers,2002,1,,"$675,000 ","$675,000 ","$475,000 ",,0.90%,,"$2,650,596 ","$2,650,596 ","$1,865,234 "
4398,Matt Barkley,Bengals,2018,2,,"$3,350,000 ","$1,675,000 ","$500,000 ",,0.90%,,"$5,278,330 ","$2,639,165 ","$787,810 "
4399,Drew Lock,DEN/SEA,2019,4,,"$7,010,820 ","$1,752,705 ","$4,427,450 ",,0.90%,,"$10,400,749 ","$2,600,187 ","$6,568,247 "
4400,Charlie Whitehurst,Chargers,2010,1,,"$1,176,000 ","$1,176,000 ",$0 ,,0.90%,,"$2,545,265 ","$2,545,265 ",$0 
4401,Taylor Heinicke,Chargers,2025,1,,"$2,500,000 ","$2,500,000 ","$2,000,000 ",,0.90%,,"$2,500,000 ","$2,500,000 ","$2,000,000 "
4402,Nick Mullens,Vikings,2023,2,,"$4,000,000 ","$2,000,000 ","$1,922,500 ",,0.90%,,"$4,967,972 ","$2,483,986 ","$2,387,731 "
4403,Joshua Dobbs,MIN/ARI,2023,1,,"$2,000,000 ","$2,000,000 ","$2,000,000 ",,0.90%,,"$2,483,986 ","$2,483,986 ","$2,483,986 "
4404,Phillip Walker,Bears,2023,2,,"$4,000,000 ","$2,000,000 ","$3,010,000 ",,0.90%,,"$4,967,972 ","$2,483,986 ","$3,738,399 "
4405,Joshua Dobbs,Browns,2023,1,,"$2,000,000 ","$2,000,000 ","$2,000,000 ",,0.90%,,"$2,483,986 ","$2,483,986 ","$2,483,986 "
4406,Cam Newton,Patriots,2020,1,,"$1,750,000 ","$1,750,000 ","$550,000 ",,0.90%,,"$2,465,187 ","$2,465,187 ","$774,773 "
4407,Joshua Dobbs,49ers,2024,1,,"$2,250,000 ","$2,250,000 ","$2,250,000 ",,0.90%,,"$2,459,671 ","$2,459,671 ","$2,459,671 "
4408,Josh Johnson,49ers,2012,2,,"$2,115,000 ","$1,057,500 ","$350,000 ",,0.90%,,"$4,896,418 ","$2,448,209 ","$810,282 "
4409,Rob Johnson,Raiders,2003,1,,"$655,000 ","$655,000 ",$0 ,,0.90%,,"$2,438,119 ","$2,438,119 ",$0 
4410,David Carr,Giants,2008,1,,"$1,000,000 ","$1,000,000 ","$100,000 ",,0.90%,,"$2,406,897 ","$2,406,897 ","$240,690 "
4411,Nate Sudfeld,Eagles,2020,1,,"$1,700,000 ","$1,700,000 ","$1,610,000 ",,0.90%,,"$2,394,753 ","$2,394,753 ","$2,267,972 "
4412,David Carr,Giants,2013,1,,"$1,050,000 ","$1,050,000 ","$165,000 ",,0.90%,,"$2,383,415 ","$2,383,415 ","$374,537 "
4413,Blaine Gabbert,Buccaneers,2019,1,,"$1,600,000 ","$1,600,000 ","$500,000 ",,0.90%,,"$2,373,645 ","$2,373,645 ","$741,764 "
4414,Tom Savage,Saints,2018,1,,"$1,500,000 ","$1,500,000 ","$100,000 ",,0.80%,,"$2,363,431 ","$2,363,431 ","$157,562 "
4415,Chase Daniel,Saints,2012,1,,"$1,000,000 ","$1,000,000 ","$300,000 ",,0.80%,,"$2,315,091 ","$2,315,091 ","$694,527 "
4416,Brandon Allen,Bengals,2021,1,,"$1,500,000 ","$1,500,000 ","$300,000 ",,0.80%,,"$2,294,795 ","$2,294,795 ","$458,959 "
4417,David Carr,Giants,2012,1,,"$990,000 ","$990,000 ","$165,000 ",,0.80%,,"$2,291,940 ","$2,291,940 ","$381,990 "
4418,Chad Henne,Chiefs,2020,2,,"$3,250,000 ","$1,625,000 ","$2,750,000 ",,0.80%,,"$4,578,204 ","$2,289,102 ","$3,873,865 "
4419,Rob Johnson,Jaguars,1997,2,,"$675,000 ","$337,500 ",$0 ,,0.80%,,"$4,546,244 ","$2,273,122 ",$0 
4420,Nick Mullens,Jaguars,2025,2,,"$4,500,000 ","$2,250,000 ","$3,000,000 ",,0.80%,,"$4,500,000 ","$2,250,000 ","$3,000,000 "
4421,Case Keenum,Bears,2025,1,,"$2,250,000 ","$2,250,000 ","$2,155,000 ",,0.80%,,"$2,250,000 ","$2,250,000 ","$2,155,000 "
4422,Austin Davis,Broncos,2016,1,,"$1,250,000 ","$1,250,000 ","$100,000 ",,0.80%,,"$2,247,698 ","$2,247,698 ","$179,816 "
4423,Easton Stick,Chargers,2023,1,,"$1,800,000 ","$1,800,000 ","$1,152,500 ",,0.80%,,"$2,235,587 ","$2,235,587 ","$1,431,397 "
4424,Ryan Fitzpatrick,Bengals,2008,1,,"$927,000 ","$927,000 ",$0 ,,0.80%,,"$2,231,193 ","$2,231,193 ",$0 
4425,Brian Hoyer,Browns,2013,2,,"$1,965,000 ","$982,500 ","$250,000 ",,0.80%,,"$4,460,390 ","$2,230,195 ","$567,480 "
4426,Mark Brunell,Jets,2011,1,,"$960,000 ","$960,000 ","$575,000 ",,0.80%,,"$2,226,642 ","$2,226,642 ","$1,333,666 "
4427,Brandon Allen,49ers,2024,1,,"$2,020,000 ","$2,020,000 ","$700,000 ",,0.80%,,"$2,208,238 ","$2,208,238 ","$765,231 "
4428,Jimmy Clausen,Ravens,2015,1,,"$1,125,000 ","$1,125,000 ","$262,500 ",,0.80%,,"$2,192,211 ","$2,192,211 ","$511,516 "
4429,Ryan Mallett,Ravens,2015,2,,"$2,245,000 ","$1,122,500 ",$0 ,,0.80%,,"$4,374,679 ","$2,187,339 ",$0 
4430,Drew Stanton,Lions,2007,4,,"$3,405,000 ","$851,250 ","$1,588,000 ",,0.80%,,"$8,721,798 ","$2,180,450 ","$4,067,611 "
4431,Tyrod Taylor,Bills,2015,3,,"$3,350,000 ","$1,116,667 ","$1,150,000 ",,0.80%,,"$6,527,917 ","$2,175,973 ","$2,240,927 "
4432,Matt Leinart,Texans,2010,1,,"$1,000,000 ","$1,000,000 ",$0 ,,0.80%,,"$2,164,341 ","$2,164,341 ",$0 
4433,Ryan Griffin,Buccaneers,2019,2,,"$2,900,000 ","$1,450,000 ","$450,000 ",,0.80%,,"$4,302,232 ","$2,151,116 ","$667,588 "
4434,Josh Johnson,Bengals,2013,2,,"$1,895,000 ","$947,500 ","$150,000 ",,0.80%,,"$4,301,496 ","$2,150,748 ","$340,488 "
4435,Shaun Hill,Vikings,2005,1,,"$656,000 ","$656,000 ",$0 ,,0.80%,,"$2,142,166 ","$2,142,166 ",$0 
4436,Ryan Griffin,Buccaneers,2017,2,,"$2,550,000 ","$1,275,000 ",$0 ,,0.80%,,"$4,263,234 ","$2,131,617 ",$0 
4437,Jalen Hurts,Eagles,2020,4,,"$6,025,176 ","$1,506,294 ","$3,435,816 ",,0.80%,,"$8,487,533 ","$2,121,883 ","$4,839,959 "
4438,Kyle Trask,Buccaneers,2021,4,,"$5,535,336 ","$1,383,834 ","$2,957,306 ",,0.80%,,"$8,468,306 ","$2,117,076 ","$4,524,273 "
4439,Joe Flacco,Jets,2020,1,,"$1,500,000 ","$1,500,000 ","$550,000 ",,0.80%,,"$2,113,017 ","$2,113,017 ","$774,773 "
4440,Jeff Garcia,Texans,2011,1,,"$910,000 ","$910,000 ",$0 ,,0.80%,,"$2,110,671 ","$2,110,671 ",$0 
4441,Mike Glennon,Giants,2021,1,,"$1,375,000 ","$1,375,000 ","$450,000 ",,0.80%,,"$2,103,562 ","$2,103,562 ","$688,438 "
4442,Christian Hackenberg,Jets,2016,4,,"$4,660,304 ","$1,165,076 ","$209,312 ",,0.80%,,"$8,379,963 ","$2,094,991 ","$376,376 "
4443,Christian Hackenberg,Raiders,2016,4,,"$4,660,304 ","$1,165,076 ","$2,039,312 ",,0.80%,,"$8,379,963 ","$2,094,991 ","$3,667,005 "
4444,Drew Stanton,Lions,2011,1,,"$900,000 ","$900,000 ","$250,000 ",,0.70%,,"$2,087,477 ","$2,087,477 ","$579,855 "
4445,Nick Mullens,Vikings,2024,1,,"$1,900,000 ","$1,900,000 ",$0 ,,0.70%,,"$2,077,056 ","$2,077,056 ",$0 
4446,DeShone Kizer,CLE/LV/GB,2017,4,,"$4,948,412 ","$1,237,103 ","$2,893,772 ",,0.70%,,"$8,273,034 ","$2,068,258 ","$4,837,971 "
4447,Chad Henne,Dolphins,2008,4,,"$3,430,100 ","$857,525 ","$1,425,100 ",,0.70%,,"$8,255,896 ","$2,063,974 ","$3,430,068 "
4448,Derek Anderson,Panthers,2012,1,,"$890,000 ","$890,000 ","$65,000 ",,0.70%,,"$2,060,431 ","$2,060,431 ","$150,481 "
4449,Derek Anderson,Panthers,2013,1,,"$905,000 ","$905,000 ","$65,000 ",,0.70%,,"$2,054,276 ","$2,054,276 ","$147,545 "
4450,Luke McCown,Saints,2015,1,,"$1,050,000 ","$1,050,000 ","$350,000 ",,0.70%,,"$2,046,064 ","$2,046,064 ","$682,021 "
